ACR1,ACR2,ACR3,ACR4
0.0,0.0,0.0,0.0
76.21,0.0,0.0,0.0
756.725,756.321,0.0,0.0
751.291,0.0,0.0,0.0
762.285,0.0,0.0,0.0
756.273,0.0,0.0,0.0
74.724,0.0,0.0,0.0
770.291,0.0,0.0,0.0
72.25,72.712,0.0,0.0
756.7253,0.0,0.0,0.0
318.3328,0.0,0.0,0.0
436.6131,452.6132,0.0,0.0
438.512,0.0,0.0,0.0
456.329,0.0,0.0,0.0
331.3318,854.324,0.0,0.0
41.565,41.565,0.0,0.0
461.565,462.565,0.0,0.0
44.565,45.565,46.5,0.0
243.385,0.0,0.0,0.0
224.92,0.0,0.0,0.0
442.443,442.442,0.0,0.0
443.651,443.441,44.0,0.0
336.4232,33.4232,0.0,0.0
126.1419,213.1419,0.0,0.0
43.7,46.7,0.0,0.0
442.713,0.0,0.0,0.0
414.122,0.0,0.0,0.0
4338.122,0.0,0.0,0.0
41.122,0.0,0.0,0.0
413.4819,414.122,0.0,0.0
434.92,434.12,0.0,0.0
437.813,467.813,0.0,0.0
452.6561,452.6562,0.0,0.0
452.6561,0.0,0.0,0.0
422.6561,0.0,0.0,0.0
437.721,0.0,0.0,0.0
463.4859,463.779,0.0,0.0
437.772,434.761,0.0,0.0
452.761,437.711,46.0,0.0
43.565,0.0,0.0,0.0
43.565,43.451,0.0,0.0
448.3328,33.3328,0.0,0.0
443.331,443.333,0.0,0.0
331.3328,448.3328,0.0,0.0
33.3328,0.0,0.0,0.0
441.333,443.333,0.0,0.0
4642.131,0.0,0.0,0.0
451.3111,451.3131,0.0,0.0
422.761,434.761,0.0,0.0
434.761,0.0,0.0,0.0
452.761,4344.761,4.0,0.0
422.761,4424.761,4.0,0.0
414.761,452.761,43.0,0.0
442.761,441.761,0.0,0.0
452.761,414.761,0.0,0.0
452.761,434.761,32.0,0.0
437.761,0.0,0.0,0.0
442.761,0.0,0.0,0.0
452.761,0.0,0.0,0.0
434.761,437.772,0.0,0.0
434.761,437.761,41.0,0.0
437.761,434.761,0.0,0.0
438.761,452.761,41.0,0.0
438.761,0.0,0.0,0.0
467.782,0.0,0.0,0.0
451.3115,0.0,0.0,0.0
123.321,0.0,0.0,0.0
436.3211,0.0,0.0,0.0
331.327,0.0,0.0,0.0
33.327,0.0,0.0,0.0
31.11,0.0,0.0,0.0
43.565,41.565,43.5,0.0
336.782,336.783,0.0,0.0
456.415,0.0,0.0,0.0
272.4619,0.0,0.0,0.0
454.4619,454.1214,0.0,0.0
442.4844,442.77,0.0,0.0
11.143,11.455,0.341,0.0
414.4813,414.4819,0.0,0.0
41.4813,0.0,0.0,0.0
414.4813,419.4819,0.0,0.0
41.4819,0.0,0.0,0.0
4525.4852,0.0,0.0,0.0
4524.4852,0.0,0.0,0.0
459.4857,0.0,0.0,0.0
4338.483,0.0,0.0,0.0
41.4813,47.491,0.0,0.0
451.412,0.0,0.0,0.0
438.483,0.0,0.0,0.0
4524.4852,4524.4854,0.0,0.0
4525.4852,4525.4854,0.0,0.0
418.4813,414.4811,0.0,0.0
41.4813,41.4819,0.0,0.0
442.92,442.78,0.0,0.0
442.92,442.12,0.0,0.0
451.842,452.485,0.0,0.0
434.1214,0.0,0.0,0.0
31.7811,0.0,0.0,0.0
337.411,331.411,33.0,0.0
44.422,44.421,33.4,0.0
434.483,0.0,0.0,0.0
443.651,321.651,33.0,0.0
454.1481,0.0,0.0,0.0
441.851,442.786,44.0,0.0
332.85,0.0,0.0,0.0
10.155,0.0,0.0,0.0
43.1542,0.0,0.0,0.0
436.3114,0.0,0.0,0.0
436.3114,436.416,0.0,0.0
451.3114,452.4852,0.0,0.0
451.3114,0.0,0.0,0.0
415.3114,0.0,0.0,0.0
443.3114,0.0,0.0,0.0
465.3114,0.0,0.0,0.0
427.3114,0.0,0.0,0.0
456.3114,0.0,0.0,0.0
337.74,338.74,328.0,0.0
467.711,0.0,0.0,0.0
443.123,0.0,0.0,0.0
443.123,443.121,0.0,0.0
4411.3113,0.0,0.0,0.0
45.1542,0.0,0.0,0.0
454.1542,415.1542,0.0,0.0
45.1542,46.1542,0.0,0.0
458.1542,0.0,0.0,0.0
45.1542,41.1542,0.0,0.0
454.1542,461.1542,0.0,0.0
4529.784,0.0,0.0,0.0
4411.3132,0.0,0.0,0.0
451.3132,0.0,0.0,0.0
461.3131,0.0,0.0,0.0
451.3131,0.0,0.0,0.0
461.3131,461.416,0.0,0.0
462.3131,0.0,0.0,0.0
454.3131,0.0,0.0,0.0
454.3131,456.411,4.0,0.0
421.582,441.582,46.0,0.0
4642.582,319.582,3.0,0.0
4642.582,0.0,0.0,0.0
312.412,0.0,0.0,0.0
415.411,0.0,0.0,0.0
311.413,0.0,0.0,0.0
31.412,0.0,0.0,0.0
126.414,0.0,0.0,0.0
454.4191,0.0,0.0,0.0
4642.415,0.0,0.0,0.0
462.415,0.0,0.0,0.0
443.415,443.453,0.0,0.0
33.415,0.0,0.0,0.0
444.415,0.0,0.0,0.0
454.415,0.0,0.0,0.0
442.415,442.47,0.0,0.0
461.415,0.0,0.0,0.0
454.415,452.771,0.0,0.0
443.415,443.411,44.0,0.0
461.415,462.415,0.0,0.0
443.415,0.0,0.0,0.0
451.415,0.0,0.0,0.0
465.415,0.0,0.0,0.0
33.415,44.761,0.0,0.0
442.786,442.416,44.0,0.0
45.4191,45.495,0.0,0.0
4336.411,4331.411,0.0,0.0
4337.411,0.0,0.0,0.0
471.331,0.0,0.0,0.0
412.331,0.0,0.0,0.0
451.562,451.416,0.0,0.0
443.331,443.416,0.0,0.0
451.3131,451.416,0.0,0.0
456.3131,456.416,0.0,0.0
454.841,454.416,0.0,0.0
454.416,458.843,0.0,0.0
33.74,32.41,0.0,0.0
443.412,0.0,0.0,0.0
451.4199,452.4857,0.0,0.0
126.414,124.414,0.0,0.0
4643.411,0.0,0.0,0.0
4412.4191,0.0,0.0,0.0
463.821,463.422,0.0,0.0
444.415,444.416,44.0,0.0
435.415,436.415,0.0,0.0
33.415,44.411,0.0,0.0
33.411,33.411,44.4,0.0
44.411,44.411,44.4,0.0
40.416,40.333,0.0,0.0
437.75,0.0,0.0,0.0
467.75,438.75,463.0,0.0
467.75,437.75,0.0,0.0
467.75,0.0,0.0,0.0
438.75,468.75,0.0,0.0
422.75,452.75,437.0,0.0
311.3141,0.0,0.0,0.0
321.3141,0.0,0.0,0.0
331.3141,0.0,0.0,0.0
458.3141,0.0,0.0,0.0
414.82,415.82,416.0,0.0
437.594,0.0,0.0,0.0
452.6561,422.6561,0.0,0.0
429.3285,0.0,0.0,0.0
451.3114,451.3285,0.0,0.0
111.1323,0.0,0.0,0.0
442.6561,0.0,0.0,0.0
468.75,438.75,0.0,0.0
336.7833,331.332,0.0,0.0
36.3149,0.0,0.0,0.0
441.819,441.411,42.0,0.0
314.711,318.711,0.0,0.0
471.3183,471.3123,0.0,0.0
333.3183,0.0,0.0,0.0
4413.3183,0.0,0.0,0.0
112.319,0.0,0.0,0.0
415.3181,0.0,0.0,0.0
4411.3181,0.0,0.0,0.0
456.3181,0.0,0.0,0.0
4414.3181,0.0,0.0,0.0
4641.3181,0.0,0.0,0.0
416.3181,416.416,0.0,0.0
416.3181,416.456,0.0,0.0
415.3181,415.416,0.0,0.0
4642.3181,0.0,0.0,0.0
443.3181,0.0,0.0,0.0
421.3181,0.0,0.0,0.0
4642.779,0.0,0.0,0.0
334.779,0.0,0.0,0.0
4642.319,0.0,0.0,0.0
432.1891,432.421,0.0,0.0
224.423,0.0,0.0,0.0
318.711,318.451,0.0,0.0
42.421,0.0,0.0,0.0
442.146,0.0,0.0,0.0
442.422,442.439,0.0,0.0
465.218,0.0,0.0,0.0
444.669,458.669,11.0,0.0
435.1543,436.1543,0.0,0.0
318.74,337.74,0.0,0.0
338.74,442.74,0.0,0.0
337.74,0.0,0.0,0.0
337.74,479.74,0.0,0.0
337.74,442.74,0.0,0.0
318.74,418.74,0.0,0.0
338.74,0.0,0.0,0.0
338.74,338.41,442.0,0.0
338.74,328.74,318.0,0.0
336.74,0.0,0.0,0.0
336.74,337.74,0.0,0.0
337.74,326.74,0.0,0.0
337.74,33.74,0.0,0.0
337.74,464.74,0.0,0.0
337.74,415.74,45.7,0.0
337.47,336.47,0.0,0.0
338.74,328.74,0.0,0.0
337.47,0.0,0.0,0.0
337.7912,0.0,0.0,0.0
337.7912,338.7912,0.0,0.0
337.7912,442.7912,0.0,0.0
442.7912,442.786,3.0,0.0
465.449,0.0,0.0,0.0
443.443,0.0,0.0,0.0
472.843,0.0,0.0,0.0
441.843,0.0,0.0,0.0
415.842,0.0,0.0,0.0
436.843,0.0,0.0,0.0
443.841,0.0,0.0,0.0
